item_name,Alcohol,Calcium,Calories,Cholesterol,Dietary Fiber,Iron,Protein,Saturated Fat,Sodium,Sugars,Total Carbohydrate,Total Fat,Trans Fat,Vitamin A,Vitamin C,Brand Name,Meal Type,Source URL,Potassium,Caffeine,Monounsaturated Fat,Polyunsaturated Fat,Omega- Fatty Acids,Alcohol_values,Alcohol_units,Calcium_values,Calcium_units,Cholesterol_values,Cholesterol_units,Dietary Fiber_values,Dietary Fiber_units,Iron_values,Iron_units,Protein_values,Protein_units,Saturated Fat_values,Saturated Fat_units,Sodium_values,Sodium_units,Sugars_values,Sugars_units,Total Carbohydrate_values,Total Carbohydrate_units,Total Fat_values,Total Fat_units,Vitamin A_values,Vitamin A_units,Vitamin C_values,Vitamin C_units,Potassium_values,Potassium_units,Trans Fat_values,Trans Fat_units,Monounsaturated Fat_values,Monounsaturated Fat_units,Polyunsaturated Fat_values,Polyunsaturated Fat_units,Caffeine_values,Caffeine_units,Omega- Fatty Acids_values,Omega- Fatty Acids_units,Unnamed: 0,protein_check,carb_check,fat_check,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,fat_indicator,carbs_indicator,protein_indicator,indicator_sum
Marinade Lemon & Pepper,0 g,,80,0 mg,0 g,,0 g,0 g,380 mg,1 g,20 g,0 g,0 g,,,Kroger,Cooking Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-cooking-sauces-marinade-lemon-pepper/DPjtQWSvSd-esZP1aIRpHA,0 mg,,0 g,0 g,0 g,0.0,g,,,0.0,mg,0.0,g,,,0.0,g,0.0,g,380.0,mg,1.0,g,20.0,g,0.0,g,,,,,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,80.0,0.0,0.0,80.0,0.0,1.0,0.0,0,0,0,0
"Mini Crisps, Cheddar Rice Snacks",0 g,,62,0 mg,0 g,,1 g,0 g,240 mg,0 g,10 g,2 g,,,,Kroger,Potato Chips,https://www.calorieking.com/us/en/foods/f/calories-in-potato-chips-mini-crisps-cheddar-rice-snacks/hvdmp4zxQvaiIZoAcWP5hw,,,,,,0.0,g,,,0.0,mg,0.0,g,,,1.0,g,0.0,g,240.0,mg,0.0,g,10.0,g,2.0,g,,,,,,,,,,,,,,,,,,0,0,0,40.0,4.0,18.0,62.0,0.2903225806451613,0.6451612903225806,0.06451612903225806,1,0,0,1
"Carbmaster, Raspberry",0 g,350 mg,80,5 mg,1 g,0 mg,12 g,1 g,100 mg,3 g,4 g,1.5 g,0 g,300 mg,2 mg,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-carbmaster-raspberry/dwHxKwAVTwq7BbTty4YxSA,140 mg,,,,,0.0,g,350.0,mg,5.0,mg,1.0,g,0.0,mg,12.0,g,1.0,g,100.0,mg,3.0,g,4.0,g,1.5,g,300.0,mg,2.0,mg,140.0,mg,0.0,g,,,,,,,,,,0,0,0,16.0,48.0,13.5,77.5,0.17419354838709677,0.2064516129032258,0.6193548387096774,0,0,0,0
"Oven Ready Breaded Coconut Shrimp, without dipping sauce",0 g,20 mg,310,80 mg,2 g,1 mg,11 g,6 g,310 mg,3 g,24 g,18 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-coconut-shrimp-without-dipping-sauce/rSJXRgyhS4WkmO95jGzJOg,,,,,,0.0,g,20.0,mg,80.0,mg,2.0,g,1.0,mg,11.0,g,6.0,g,310.0,mg,3.0,g,24.0,g,18.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,96.0,44.0,162.0,302.0,0.5364238410596026,0.31788079470198677,0.1456953642384106,0,0,1,1
"Oven Ready Breaded, Calamari Rings",0 g,40 mg,200,105 mg,0 g,1 mg,7 g,2.5 g,600 mg,1 g,19 g,11 g,0 g,0 mg,2 mg,Kroger,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-oven-ready-breaded-calamari-rings/XXFUutiRSkyqQtXN0d95Ew,,,,,,0.0,g,40.0,mg,105.0,mg,0.0,g,1.0,mg,7.0,g,2.5,g,600.0,mg,1.0,g,19.0,g,11.0,g,0.0,mg,2.0,mg,,,0.0,g,,,,,,,,,,0,0,0,76.0,28.0,99.0,203.0,0.4876847290640394,0.37438423645320196,0.13793103448275862,0,0,1,1
Fruit on the Bottom: Blueberry (west coast),0 g,,223,15 mg,0.5 g,,8 g,2 g,130 mg,40 g,41 g,3 g,,,,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-fruit-on-the-bottom-blueberry-west-coast/uR_OKz5KRwiAtDNwJ_y3cQ,350 mg,,,,,0.0,g,,,15.0,mg,0.5,g,,,8.0,g,2.0,g,130.0,mg,40.0,g,41.0,g,3.0,g,,,,,350.0,mg,,,,,,,,,,,,0,0,0,164.0,32.0,27.0,223.0,0.1210762331838565,0.7354260089686099,0.14349775784753363,0,0,1,1
Chunky Bleu Cheese,0 g,20 mg,150,5 mg,0 g,0 mg,1 g,3 g,350 mg,1 g,2 g,16 g,0 g,0 mg,0 mg,Kroger,Salad Dressings,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-chunky-bleu-cheese/eQcr-2Z8R064xYjeHh_nRA,,,,,,0.0,g,20.0,mg,5.0,mg,0.0,g,0.0,mg,1.0,g,3.0,g,350.0,mg,1.0,g,2.0,g,16.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,8.0,4.0,144.0,156.0,0.9230769230769231,0.05128205128205128,0.02564102564102564,0,0,0,0
Lite Zesty Italian,0 g,,34,0 mg,0 g,,0 g,0 g,410 mg,4 g,4 g,2 g,,,,Kroger,Salad Dressings,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-lite-zesty-italian/TvF0IMeeRS6rpG3_U8pylg,0 mg,,,,,0.0,g,,,0.0,mg,0.0,g,,,0.0,g,0.0,g,410.0,mg,4.0,g,4.0,g,2.0,g,,,,,0.0,mg,,,,,,,,,,,,0,0,0,16.0,0.0,18.0,34.0,0.5294117647058824,0.47058823529411764,0.0,0,0,0,0
"Garden Vegetable Rice, 90 Second Rice, Microwaveable",0 g,0 mg,280,0 mg,1 g,1 mg,5 g,0 g,820 mg,3 g,55 g,4 g,0 g,300 mg,1 mg,Kroger,Grains,https://www.calorieking.com/us/en/foods/f/calories-in-grains-garden-vegetable-rice-90-second-rice-microwaveable/gxLrLCd7TzyDuTCUPXh20g,,,,,,0.0,g,0.0,mg,0.0,mg,1.0,g,1.0,mg,5.0,g,0.0,g,820.0,mg,3.0,g,55.0,g,4.0,g,300.0,mg,1.0,mg,,,0.0,g,,,,,,,,,,0,0,0,220.0,20.0,36.0,276.0,0.13043478260869565,0.7971014492753623,0.07246376811594203,0,0,0,0
"Baked Wheat Crisps Snack Pack, 50% less fat",0 g,,135,0 mg,2 g,,4 g,0 g,180 mg,3 g,23 g,3 g,,,,Kroger,Crackers,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-baked-wheat-crisps-snack-pack-50-less-fat/qNI8bED5T2GIuGykR4gZ5w,0 mg,,,,,0.0,g,,,0.0,mg,2.0,g,,,4.0,g,0.0,g,180.0,mg,3.0,g,23.0,g,3.0,g,,,,,0.0,mg,,,,,,,,,,,,0,0,0,92.0,16.0,27.0,135.0,0.2,0.6814814814814815,0.11851851851851852,0,0,1,1
Sliced Turkey Pepperoni,0 g,0 mg,80,40 mg,0 g,1 mg,8 g,1.5 g,610 mg,0 g,0.5 g,4.5 g,0 g,100 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-sliced-turkey-pepperoni/InYqwk8LStu8ZPztBTU5zQ,,,,,,0.0,g,0.0,mg,40.0,mg,0.0,g,1.0,mg,8.0,g,1.5,g,610.0,mg,0.0,g,0.5,g,4.5,g,100.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,2.0,32.0,40.5,74.5,0.5436241610738255,0.026845637583892617,0.42953020134228187,0,0,0,0
Smoked Sausage,0 g,0 mg,180,35 mg,0 g,1 mg,6 g,6 g,500 mg,2 g,2 g,17 g,0 g,0 mg,0 mg,Kroger,"Franks, Wieners & Sausages",https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-smoked-sausage/GHrSuktZTIu2p4g3SCOSGA,,,,,,0.0,g,0.0,mg,35.0,mg,0.0,g,1.0,mg,6.0,g,6.0,g,500.0,mg,2.0,g,2.0,g,17.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,8.0,24.0,153.0,185.0,0.827027027027027,0.043243243243243246,0.12972972972972974,0,0,1,1
"Blended, All Other Flavors",0 g,300 mg,250,15 mg,0 g,0 mg,10 g,1.5 g,160 mg,43 g,47 g,2.5 g,0 g,500 mg,0 mg,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-blended-all-other-flavors/GQlNr7oYQ4WlB3gyraHhGQ,410 mg,,,,,0.0,g,300.0,mg,15.0,mg,0.0,g,0.0,mg,10.0,g,1.5,g,160.0,mg,43.0,g,47.0,g,2.5,g,500.0,mg,0.0,mg,410.0,mg,0.0,g,,,,,,,,,,0,0,0,188.0,40.0,22.5,250.5,0.08982035928143713,0.7504990019960079,0.1596806387225549,0,0,1,1
Salted Peanuts,0 g,20 mg,160,0 mg,2 g,1 mg,7 g,2 g,120 mg,1 g,5 g,14 g,0 g,0 mg,0 mg,Kroger,Nut/Trail Mix,https://www.calorieking.com/us/en/foods/f/calories-in-nuttrail-mix-salted-peanuts/anmbYDYnRqOuMBnpurGw-Q,190 mg,,7 g,4.5 g,,0.0,g,20.0,mg,0.0,mg,2.0,g,1.0,mg,7.0,g,2.0,g,120.0,mg,1.0,g,5.0,g,14.0,g,0.0,mg,0.0,mg,190.0,mg,0.0,g,7.0,g,4.5,g,,,,,,0,0,0,20.0,28.0,126.0,174.0,0.7241379310344828,0.11494252873563218,0.16091954022988506,0,0,1,1
Fudgie Stripes Shortbread,0 g,,160,0 mg,0.5 g,,1 g,4 g,140 mg,10 g,21 g,8 g,,,,Kroger,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-fudgie-stripes-shortbread/MSXjZf_PRlaRbNPj-pLlgw,0 mg,,,,,0.0,g,,,0.0,mg,0.5,g,,,1.0,g,4.0,g,140.0,mg,10.0,g,21.0,g,8.0,g,,,,,0.0,mg,,,,,,,,,,,,0,0,0,84.0,4.0,72.0,160.0,0.45,0.525,0.025,0,1,0,1
"Sweet & Salty, Pretzel Bar, Peanut Chocolate Chunk",0 g,20 mg,170,0 mg,2 g,1 mg,3 g,3 g,85 mg,11 g,22 g,8 g,0 g,0 mg,0 mg,Kroger,Sports Bars,https://www.calorieking.com/us/en/foods/f/calories-in-sports-bars-sweet-salty-pretzel-bar-peanut-chocolate-chunk/uJ4SLrlzQouS2lNO6V4MFA,,,,,,0.0,g,20.0,mg,0.0,mg,2.0,g,1.0,mg,3.0,g,3.0,g,85.0,mg,11.0,g,22.0,g,8.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,88.0,12.0,72.0,172.0,0.4186046511627907,0.5116279069767442,0.06976744186046512,0,1,0,1
"100% Florida Orange Juice, Original",0 g,,110,,,,2 g,0 g,0 mg,22 g,26 g,0 g,0 g,,72 mg,Kroger,Fruit/Vegetable Juices & Juice Drinks,https://www.calorieking.com/us/en/foods/f/calories-in-fruitvegetable-juices-juice-drinks-100-florida-orange-juice-original/eJ0wObMWSWaAnq_eGZkFVQ,450 mg,,,,,0.0,g,,,,,,,,,2.0,g,0.0,g,0.0,mg,22.0,g,26.0,g,0.0,g,,,72.0,mg,450.0,mg,0.0,g,,,,,,,,,,0,0,0,104.0,8.0,0.0,112.0,0.0,0.9285714285714286,0.07142857142857142,0,0,0,0
Peanut Butter Crunchy,0 g,0 mg,190,0 mg,2 g,1 mg,8 g,3 g,130 mg,3 g,7 g,15 g,0 g,0 mg,0 mg,Kroger,Nut Spreads,https://www.calorieking.com/us/en/foods/f/calories-in-nut-spreads-peanut-butter-crunchy/FKaVr0CKS8O4jnHdhr2A0A,,,7 g,4.5 g,,0.0,g,0.0,mg,0.0,mg,2.0,g,1.0,mg,8.0,g,3.0,g,130.0,mg,3.0,g,7.0,g,15.0,g,0.0,mg,0.0,mg,,,0.0,g,7.0,g,4.5,g,,,,,,0,0,0,28.0,32.0,135.0,195.0,0.6923076923076923,0.14358974358974358,0.1641025641025641,0,0,1,1
Marinade Mesquite,0 g,,4,0 mg,0 g,,0 g,0 g,350 mg,0 g,1 g,0 g,0 g,,,Kroger,Cooking Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-cooking-sauces-marinade-mesquite/fCzEjLCySqerXi4_-wBH7A,0 mg,,0 g,0 g,0 g,0.0,g,,,0.0,mg,0.0,g,,,0.0,g,0.0,g,350.0,mg,0.0,g,1.0,g,0.0,g,,,,,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0,0,0
"Fresh Selections, American Blend; Romain Lettuce, Iceberg Lettuce, Red Cabbage, Carrots & Radish",0 g,20 mg,15,0 mg,1 g,1 mg,1 g,0 g,15 mg,2 g,3 g,0 g,0 g,2000 mg,15 mg,Kroger,Fresh or Dried Vegetables,https://www.calorieking.com/us/en/foods/f/calories-in-fresh-or-dried-vegetables-fresh-selections-american-blend-romain-lettuce-iceberg-lettuce-red-cabbage-carrots-radish/hpPMTZ4zTDmbRimWQc8d8g,,,,,,0.0,g,20.0,mg,0.0,mg,1.0,g,1.0,mg,1.0,g,0.0,g,15.0,mg,2.0,g,3.0,g,0.0,g,2000.0,mg,15.0,mg,,,0.0,g,,,,,,,,,,0,0,0,12.0,4.0,0.0,16.0,0.0,0.75,0.25,0,0,0,0
Steak,0 g,0 mg,15,0 mg,0 g,0 mg,0 g,0 g,210 mg,2 g,3 g,0 g,0 g,0 mg,0 mg,Kroger,Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-sauces-steak/61zWl1R1Rdam9ELiSnj3TQ,0 mg,,0 g,0 g,0 g,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,0.0,g,0.0,g,210.0,mg,2.0,g,3.0,g,0.0,g,0.0,mg,0.0,mg,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,12.0,0.0,0.0,12.0,0.0,1.0,0.0,0,0,0,0
"Active Lifestyle, Vanilla",0 g,250 mg,80,5 mg,0 g,0 mg,6 g,0 g,105 mg,9 g,12 g,0 g,0 g,300 mg,0 mg,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-active-lifestyle-vanilla/k-LI-YwPSrqNtF2XSQfMtQ,260 mg,,0 g,0 g,0 g,0.0,g,250.0,mg,5.0,mg,0.0,g,0.0,mg,6.0,g,0.0,g,105.0,mg,9.0,g,12.0,g,0.0,g,300.0,mg,0.0,mg,260.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,48.0,24.0,0.0,72.0,0.0,0.6666666666666666,0.3333333333333333,0,0,0,0
"Mexican Style, Monterey-Jack, Mild Cheddar, Queso Quesadilla & Asadero Cheeses, All Natural, Finely Shredded",0 g,200 mg,100,25 mg,0 g,0 mg,6 g,5 g,170 mg,0 g,1 g,8 g,0 g,300 mg,0 mg,Kroger,Cheese,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-mexican-style-monterey-jack-mild-cheddar-queso-quesadilla-asadero-cheeses-all-natural-finely-shredded/Z4OXtABGQvaBpXTJGMvc9g,,,,,,0.0,g,200.0,mg,25.0,mg,0.0,g,0.0,mg,6.0,g,5.0,g,170.0,mg,0.0,g,1.0,g,8.0,g,300.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,4.0,24.0,72.0,100.0,0.72,0.04,0.24,0,0,0,0
"Frozen Concentrate, Lemonade, unprepared",0 g,0 mg,120,0 mg,0 g,0 mg,0.5 g,0 g,0 mg,28 g,28 g,0 g,0 g,0 mg,12 mg,Kroger,Drink Mixes,https://www.calorieking.com/us/en/foods/f/calories-in-drink-mixes-frozen-concentrate-lemonade-unprepared/oiXZoGCxRqGLoKo78D2pXA,,,0 g,0 g,0 g,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,0.5,g,0.0,g,0.0,mg,28.0,g,28.0,g,0.0,g,0.0,mg,12.0,mg,,,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,112.0,2.0,0.0,114.0,0.0,0.9824561403508771,0.017543859649122806,0,0,0,0
"Portions, Batter Dip, frozen",0 g,,130,,,,5.8 g,,,,11 g,7 g,,,,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-portions-batter-dip-frozen/7WJDyfa2R-61uNoADGzTrg,,,,,,0.0,g,,,,,,,,,5.8,g,,,,,,,11.0,g,7.0,g,,,,,,,,,,,,,,,,,,0,0,0,44.0,23.2,63.0,130.2,0.48387096774193555,0.3379416282642089,0.1781874039938556,0,0,1,1
Corned Beef Hash,0 g,20 mg,440,100 mg,2 g,2 mg,19 g,14 g,840 mg,1 g,23 g,30 g,,100 mg,0 mg,Kroger,Canned Meals,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-corned-beef-hash/PbMJGA39Q-GvyXBTwER-dw,,,,,,0.0,g,20.0,mg,100.0,mg,2.0,g,2.0,mg,19.0,g,14.0,g,840.0,mg,1.0,g,23.0,g,30.0,g,100.0,mg,0.0,mg,,,,,,,,,,,,,,0,0,0,92.0,76.0,270.0,438.0,0.6164383561643836,0.2100456621004566,0.1735159817351598,0,0,1,1
Kitchen Creations Three Cheese Skillet Dinner As Packaged,0 g,40 mg,160,5 mg,0.5 g,1 mg,4 g,1.5 g,810 mg,2 g,27 g,4 g,1 g,0 mg,0 mg,Kroger,Packaged Meals,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-kitchen-creations-three-cheese-skillet-dinner-as-packaged/sC7mPtLeT1O5-U9nJiiYWQ,,,,,,0.0,g,40.0,mg,5.0,mg,0.5,g,1.0,mg,4.0,g,1.5,g,810.0,mg,2.0,g,27.0,g,4.0,g,0.0,mg,0.0,mg,,,1.0,g,,,,,,,,,,0,0,0,108.0,16.0,36.0,160.0,0.225,0.675,0.1,0,0,1,1
Barbecue Sweet N' Tangy Honey,0 g,20 mg,60,0 mg,0 g,0 mg,0 g,0 g,340 mg,13 g,14 g,0 g,0 g,100 mg,1 mg,Kroger,Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-sauces-barbecue-sweet-n-tangy-honey/S6zUt2LRSbWvXI_BZLBF4w,,,0 g,0 g,0 g,0.0,g,20.0,mg,0.0,mg,0.0,g,0.0,mg,0.0,g,0.0,g,340.0,mg,13.0,g,14.0,g,0.0,g,100.0,mg,1.0,mg,,,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,56.0,0.0,0.0,56.0,0.0,1.0,0.0,0,0,0,0
Sour Cream Original Blend,0 g,,55,20 mg,0 g,,0.5 g,3.5 g,45 mg,1 g,2 g,5 g,,,,Kroger,Desserts,https://www.calorieking.com/us/en/foods/f/calories-in-desserts-sour-cream-original-blend/Jv-WAYR5TNmXqmx5g26mTQ,,,,,,0.0,g,,,20.0,mg,0.0,g,,,0.5,g,3.5,g,45.0,mg,1.0,g,2.0,g,5.0,g,,,,,,,,,,,,,,,,,,0,0,0,8.0,2.0,45.0,55.0,0.8181818181818182,0.14545454545454545,0.03636363636363636,0,0,0,0
Zips Party,0 g,0 mg,80,0 mg,0 g,1 mg,0.5 g,1 g,125 mg,1 g,10 g,4 g,1.5 g,0 mg,0 mg,Kroger,Crackers,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-zips-party/OJejhCUDTF-4UstlJXZNtg,,,,,,0.0,g,0.0,mg,0.0,mg,0.0,g,1.0,mg,0.5,g,1.0,g,125.0,mg,1.0,g,10.0,g,4.0,g,0.0,mg,0.0,mg,,,1.5,g,,,,,,,,,,0,0,0,40.0,2.0,36.0,78.0,0.46153846153846156,0.5128205128205128,0.02564102564102564,0,1,0,1
"CarbMaster, Cultured Dairy Blend, Peach",0 g,300 mg,70,10 mg,0 g,1 mg,9 g,1 g,120 mg,2 g,5 g,1.5 g,0 g,400 mg,2 mg,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-carbmaster-cultured-dairy-blend-peach/3IEMReKsTo2tvafBvVO08A,100 mg,,,,,0.0,g,300.0,mg,10.0,mg,0.0,g,1.0,mg,9.0,g,1.0,g,120.0,mg,2.0,g,5.0,g,1.5,g,400.0,mg,2.0,mg,100.0,mg,0.0,g,,,,,,,,,,0,0,0,20.0,36.0,13.5,69.5,0.19424460431654678,0.28776978417266186,0.5179856115107914,0,0,0,0
Steak,0 g,,8,0 mg,0 g,,1 g,0 g,1100 mg,0 g,1 g,0 g,0 g,,,Kroger,Seasonings,https://www.calorieking.com/us/en/foods/f/calories-in-seasonings-steak/xw2Q3yDHTgmhTndNnLLPUQ,0 mg,,0 g,0 g,0 g,0.0,g,,,0.0,mg,0.0,g,,,1.0,g,0.0,g,1100.0,mg,0.0,g,1.0,g,0.0,g,,,,,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,4.0,4.0,0.0,8.0,0.0,0.5,0.5,0,1,0,1
Marinade Herb & Garlic,0 g,,8,0 mg,0 g,,0 g,0 g,420 mg,2 g,2 g,0 g,0 g,,,Kroger,Cooking Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-cooking-sauces-marinade-herb-garlic/vhId4Mc3S4m_0IEWYhaDxg,0 mg,,0 g,0 g,0 g,0.0,g,,,0.0,mg,0.0,g,,,0.0,g,0.0,g,420.0,mg,2.0,g,2.0,g,0.0,g,,,,,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,8.0,0.0,0.0,8.0,0.0,1.0,0.0,0,0,0,0
"Whipped Yogurt, average all flavors (east coast)",0 g,,150,10 mg,,,4 g,1.5 g,65 mg,24 g,27 g,2.5 g,,,,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-whipped-yogurt-average-all-flavors-east-coast/El7F6Q1mTqyQQS-pe3DZ3g,,,,,,0.0,g,,,10.0,mg,,,,,4.0,g,1.5,g,65.0,mg,24.0,g,27.0,g,2.5,g,,,,,,,,,,,,,,,,,,0,0,0,108.0,16.0,22.5,146.5,0.15358361774744028,0.7372013651877133,0.10921501706484642,0,0,1,1
"Preserves, Strawberry",0 g,0 mg,50,0 mg,0 g,0 mg,0 g,0 g,10 mg,10 g,11 g,0 g,0 g,0 mg,0 mg,Kroger,Jams,https://www.calorieking.com/us/en/foods/f/calories-in-jams-preserves-strawberry/KcuEfKcSR2u7bR2U7NpjDA,0 mg,,0 g,0 g,0 g,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,0.0,g,0.0,g,10.0,mg,10.0,g,11.0,g,0.0,g,0.0,mg,0.0,mg,0.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,44.0,0.0,0.0,44.0,0.0,1.0,0.0,0,0,0,0
"Private Selection, Creamy Caesar",0 g,0 mg,110,0 mg,2 g,0 mg,0 g,1 g,330 mg,8 g,12 g,6 g,0 g,0 mg,0 mg,Kroger,Salad Dressings,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-private-selection-creamy-caesar/B36zsHb2TZarpeDkLCXiww,,,,,,0.0,g,0.0,mg,0.0,mg,2.0,g,0.0,mg,0.0,g,1.0,g,330.0,mg,8.0,g,12.0,g,6.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,48.0,0.0,54.0,102.0,0.5294117647058824,0.47058823529411764,0.0,0,0,0,0
Tartar,0 g,0 mg,110,10 mg,0 g,0 mg,0 g,1.5 g,240 mg,3 g,4 g,11 g,0 g,0 mg,0 mg,Kroger,Sauces,https://www.calorieking.com/us/en/foods/f/calories-in-sauces-tartar/vTZLoEJYT0GxaAUNmgnVLw,,,,,,0.0,g,0.0,mg,10.0,mg,0.0,g,0.0,mg,0.0,g,1.5,g,240.0,mg,3.0,g,4.0,g,11.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,16.0,0.0,99.0,115.0,0.8608695652173913,0.1391304347826087,0.0,0,0,0,0
Peanut Butter Creamy Reduced-Fat,0 g,,196,0 mg,2 g,,9 g,2.5 g,210 mg,2 g,13 g,12 g,,,,Kroger,Nut Spreads,https://www.calorieking.com/us/en/foods/f/calories-in-nut-spreads-peanut-butter-creamy-reduced-fat/KzcNqv5wR8-7p7WmjYcXHg,0 mg,,,,,0.0,g,,,0.0,mg,2.0,g,,,9.0,g,2.5,g,210.0,mg,2.0,g,13.0,g,12.0,g,,,,,0.0,mg,,,,,,,,,,,,0,0,0,52.0,36.0,108.0,196.0,0.5510204081632653,0.2653061224489796,0.1836734693877551,0,0,1,1
Lite: Cherry Vanilla (west coast),0 g,,100,5 mg,0 g,,9 g,0 g,135 mg,13 g,16 g,0 g,0 g,,,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-lite-cherry-vanilla-west-coast/UrvW3jCjQ3GoziQXfOm_QQ,370 mg,,0 g,0 g,0 g,0.0,g,,,5.0,mg,0.0,g,,,9.0,g,0.0,g,135.0,mg,13.0,g,16.0,g,0.0,g,,,,,370.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,64.0,36.0,0.0,100.0,0.0,0.64,0.36,0,0,0,0
Beef Flavored Rice Prepared As Directed,0 g,40 mg,280,0 mg,2 g,2 mg,8 g,1 g,1235 mg,2 g,50 g,6 g,0 g,100 mg,0 mg,Kroger,Packaged Meals,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-beef-flavored-rice-prepared-as-directed/pj_VFBxxSv-wtewrZ-P0tA,,,,,,0.0,g,40.0,mg,0.0,mg,2.0,g,2.0,mg,8.0,g,1.0,g,1235.0,mg,2.0,g,50.0,g,6.0,g,100.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,200.0,32.0,54.0,286.0,0.1888111888111888,0.6993006993006993,0.11188811188811189,0,0,1,1
"Rice Bowl, Alfredo",0 g,,320,,,,23.5 g,,,,41 g,7 g,,,,Kroger,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-rice-bowl-alfredo/2Bbq_Cu6QmuaUJB73x8cHg,,,,,,0.0,g,,,,,,,,,23.5,g,,,,,,,41.0,g,7.0,g,,,,,,,,,,,,,,,,,,0,0,0,164.0,94.0,63.0,321.0,0.19626168224299065,0.5109034267912772,0.29283489096573206,0,1,0,1
Lite: Key Lime (west coast),0 g,,96,5 mg,0 g,,9 g,0 g,190 mg,11 g,15 g,0 g,0 g,,,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-lite-key-lime-west-coast/UHMvFhfbTNGwhnOkYBqdFg,350 mg,,0 g,0 g,0 g,0.0,g,,,5.0,mg,0.0,g,,,9.0,g,0.0,g,190.0,mg,11.0,g,15.0,g,0.0,g,,,,,350.0,mg,0.0,g,0.0,g,0.0,g,,,0.0,g,,0,0,0,60.0,36.0,0.0,96.0,0.0,0.625,0.375,0,0,0,0
